N,lambda,test_error,instability
40,0.0,1369.0700046642514,4.406060185761266
40,0.001,1368.9726845948574,4.404978953513022
40,0.00206913808111479,1368.8687532294107,4.403823579981353
40,0.004281332398719396,1368.654088759586,4.401434963850554
40,0.008858667904100823,1368.211555696274,4.396501195164188
40,0.018329807108324356,1367.302849848174,4.386329371367865
40,0.0379269019073225,1365.4519232475718,4.365439819934568
40,0.07847599703514611,1361.7435575819857,4.323008163315036
40,0.1623776739188721,1354.5569763134379,4.238462654532698
40,0.3359818286283781,1341.5102692274536,4.075020051947292
40,0.6951927961775606,1320.542147842978,3.78402528999051
40,1.438449888287663,1293.1759785619702,3.339449282133646
40,2.976351441631316,1266.998876987791,2.7838743205713055
40,6.158482110660261,1250.5316891152352,2.2101659197322183
40,12.742749857031322,1248.5710204350062,1.793691440307688
40,26.366508987303554,1267.7267018146222,1.5200442543311181
40,54.555947811685144,1308.494024859204,1.2469264852958843
40,112.88378916846884,1354.5683170453995,1.0427045531546455
40,233.57214690901213,1390.2980787280303,0.9531757151320704
40,483.2930238571752,1412.58951970524,0.9440580399552572
40,1000.0,1424.9269549814092,0.943109197530324
150,0.0,449.42319396979167,0.7995041105405535
150,0.001,449.4217785248903,0.7994918393283167
150,0.00206913808111479,449.4202654619169,0.799478720188105
150,0.004281332398719396,449.41713552322483,0.79945157645071
150,0.008858667904100823,449.41066266173874,0.7993954190529897
150,0.018329807108324356,449.39728402794844,0.7992792505028387
150,0.0379269019073225,449.3696642911549,0.7990390052119454
150,0.07847599703514611,449.3127824159293,0.7985424324898929
150,0.1623776739188721,449.19622606191393,0.7975172222999106
150,0.3359818286283781,448.95990292067654,0.795406269377951
150,0.6951927961775606,448.4913844846571,0.7910792667908856
150,1.438449888287663,447.6070860523956,0.7823000130282222
150,2.976351441631316,446.1209233987705,0.7650918583307663
150,6.158482110660261,444.3511719814694,0.7323142509907121
150,12.742749857031322,445.09741504555564,0.6755025693635568
150,26.366508987303554,458.5470191945088,0.5896083477673232
150,54.555947811685144,507.15440793342043,0.48448480959793916
150,112.88378916846884,615.4732187721445,0.39088566839819433
150,233.57214690901213,779.0459813917594,0.305054330060943
150,483.2930238571752,953.8447506591064,0.2511605173880557
150,1000.0,1093.893050101163,0.23537610842194584
500,0.0,535.5870511948889,0.19317668325338705
500,0.001,535.5871374239907,0.19317617311536167
500,0.00206913808111479,535.5872296250652,0.19317562771065103
500,0.004281332398719396,535.5874204354791,0.19317449920375368
500,0.008858667904100823,535.5878153926736,0.19317216421321848
500,0.018329807108324356,535.5886332305272,0.19316733299257666
500,0.0379269019073225,535.5903280905109,0.1931573373741341
500,0.07847599703514611,535.5938462900655,0.19313665867275595
500,0.1623776739188721,535.6011742683124,0.19309388814889877
500,0.3359818286283781,535.6165434410506,0.19300546456801457
500,0.6951927961775606,535.6492254783177,0.1928228031796839
500,1.438449888287663,535.7205922118227,0.1924461139416308
500,2.976351441631316,535.8840300249725,0.19167409623160175
500,6.158482110660261,536.2875212083869,0.19011394492532765
500,12.742749857031322,537.383566116792,0.18701429534750555
500,26.366508987303554,540.622989713228,0.18108931383646087
500,54.555947811685144,550.4422673676996,0.17061087840625863
500,112.88378916846884,578.0461409891664,0.15404670944635662
500,233.57214690901213,641.8427382230511,0.13126082657470506
500,483.2930238571752,750.8510832497776,0.10510913320861302
500,1000.0,881.8770200748896,0.08159156662714383
